Season,Name,Team,G,PA,K%,O-Swing%,O-Contact%,Z-Swing%,Z-Contact%,Zone%,F-Strike%,SwStr%,CSW%,Pitches,Swing%,Contact%,GB,FB,LD,Fair/Foul ratio
2013,Yadier Molina,STL,136,541,10.20%,35.50%,80.90%,75.10%,90.80%,45.50%,64.00%,6.80%,19.30%,1884,0.535,0.872,190,153,110,
2014,Hanley Ramirez,LAD,128,512,16.40%,31.10%,69.30%,70.40%,90.10%,40.70%,60.20%,8.40%,22.30%,1943,0.471,0.819,165,124,77,
2017,Brian Dozier,MIN,152,705,20.00%,23.40%,63.70%,62.50%,83.80%,46.40%,57.00%,9.30%,28.30%,2828,0.415,0.777,182,202,90,
2019,Joc Pederson,LAD,149,514,21.60%,30.20%,67.90%,68.00%,84.00%,41.20%,57.80%,10.20%,25.90%,2054,0.457,0.777,142,139,59,
2018,Scooter Gennett,CIN,154,638,19.60%,38.20%,75.30%,73.10%,86.90%,42.00%,61.80%,9.50%,22.30%,2443,0.529,0.82,185,167,109,
2010,Brian McCann,ATL,143,566,17.30%,29.30%,68.20%,65.90%,87.90%,40.10%,53.00%,8.70%,24.50%,2265,0.44,0.8,141,164,77,
2016,Jonathan Lucroy,- - -,142,544,18.40%,30.00%,70.80%,57.70%,88.10%,47.40%,57.00%,7.80%,28.10%,2210,0.431,0.818,146,152,95,
2016,Wilson Ramos,WSN,131,523,15.10%,30.20%,68.30%,73.20%,88.30%,46.70%,60.80%,9.00%,23.40%,1868,0.503,0.819,221,103,83,
2016,Carlos Gonzalez,COL,150,632,20.40%,36.40%,56.80%,74.40%,82.10%,39.90%,57.30%,14.70%,25.80%,2327,0.516,0.714,210,148,97,
2012,Alex Rios,CHW,157,640,14.40%,33.00%,74.70%,61.60%,93.90%,47.20%,60.20%,6.10%,26.10%,2268,0.465,0.867,207,198,113,
2017,Chris Taylor,LAD,140,568,25.00%,25.20%,53.10%,68.90%,86.00%,46.60%,64.30%,10.80%,27.80%,2268,0.455,0.763,154,133,84,
2014,Lucas Duda,NYM,153,596,22.70%,27.90%,58.10%,59.90%,86.70%,39.80%,57.00%,10.10%,29.20%,2459,0.407,0.749,117,187,78,
2015,Jose Abreu,CHW,154,668,21.00%,36.90%,63.10%,67.10%,87.10%,41.50%,57.80%,11.40%,27.20%,2526,0.495,0.766,224,152,98,
2011,Mark Teixeira,NYY,156,684,16.10%,27.10%,69.30%,65.10%,90.90%,39.00%,52.60%,7.30%,24.70%,2818,0.419,0.824,170,228,89,
2017,Khris Davis,OAK,153,652,29.90%,26.60%,49.60%,75.20%,77.90%,42.30%,58.00%,14.70%,27.70%,2591,0.472,0.687,145,160,73,
2015,Alex Rodriguez,NYY,151,620,23.40%,26.80%,58.70%,67.60%,76.50%,42.50%,60.30%,13.00%,28.50%,2503,0.441,0.703,166,149,70,
2018,Miguel Andujar,NYY,149,606,16.00%,39.40%,69.70%,74.00%,91.80%,39.60%,66.30%,9.60%,23.90%,2135,0.531,0.819,211,172,97,
2017,Travis Shaw,MIL,144,606,22.80%,29.30%,67.00%,66.50%,87.90%,42.60%,52.80%,9.00%,25.00%,2396,0.451,0.801,171,151,80,
2018,Nelson Cruz,SEA,144,591,20.60%,31.90%,51.10%,69.70%,85.80%,38.50%,54.30%,13.40%,27.70%,2282,0.465,0.711,176,154,70,
2019,Yasmani Grandal,MIL,153,632,22.00%,24.40%,63.30%,59.50%,84.10%,39.90%,57.00%,9.10%,29.20%,2733,0.384,0.762,147,143,86,
2012,Adam LaRoche,WSN,154,647,21.30%,27.30%,61.80%,67.40%,87.00%,39.10%,58.30%,9.70%,26.10%,2616,0.43,0.772,148,194,98,
2012,Adam Jones,BAL,162,697,18.10%,40.70%,59.30%,73.10%,86.50%,42.60%,63.70%,13.70%,27.00%,2474,0.545,0.748,240,170,112,
2014,Anthony Rendon,WSN,153,683,15.20%,23.10%,73.20%,61.80%,93.30%,45.50%,56.40%,5.20%,26.30%,2710,0.407,0.871,204,202,104,
2014,Robinson Cano,SEA,157,665,10.20%,35.60%,77.40%,70.30%,94.40%,40.50%,56.80%,6.20%,19.90%,2321,0.496,0.872,279,131,120,
2017,Matt Carpenter,STL,145,622,20.10%,16.50%,66.00%,54.70%,88.30%,46.00%,56.30%,6.00%,28.70%,2764,0.341,0.825,100,189,83,
2014,Matt Holliday,STL,156,667,15.00%,30.30%,70.30%,75.00%,89.30%,41.30%,62.20%,8.60%,20.80%,2450,0.488,0.824,217,180,79,
2015,Prince Fielder,TEX,158,693,12.70%,33.80%,66.90%,71.30%,91.70%,40.20%,56.10%,8.90%,22.60%,2483,0.488,0.814,245,188,97,
2011,Nick Swisher,NYY,150,635,19.70%,20.60%,65.40%,66.10%,86.10%,41.30%,54.60%,8.00%,25.00%,2583,0.394,0.797,159,161,89,
2015,Lorenzo Cain,KCR,140,604,16.20%,34.90%,70.20%,67.90%,91.20%,44.00%,59.80%,8.40%,23.10%,2299,0.495,0.829,208,143,106,
2013,Evan Longoria,TBR,160,693,23.40%,24.30%,62.00%,61.80%,83.40%,45.50%,53.80%,9.60%,28.90%,2779,0.414,0.765,169,204,85,
2017,Andrew McCutchen,PIT,156,650,17.80%,25.00%,69.20%,67.90%,85.20%,46.30%,58.20%,8.80%,24.60%,2621,0.449,0.804,186,171,100,
2016,Ben Zobrist,CHC,147,631,13.00%,20.50%,76.70%,56.10%,94.20%,42.10%,56.60%,4.10%,26.60%,2655,0.355,0.883,211,134,95,
2019,Hunter Dozier,KCR,139,586,25.30%,30.10%,50.10%,66.00%,90.40%,40.60%,60.60%,11.50%,29.20%,2253,0.447,0.743,131,167,82,
2018,Aaron Hicks,NYY,137,581,19.10%,20.90%,67.10%,65.50%,82.70%,42.00%,53.00%,8.70%,25.80%,2487,0.396,0.78,148,142,80,
2019,Luke Voit,NYY,118,510,27.80%,26.60%,44.20%,78.60%,78.10%,40.10%,59.80%,15.80%,27.80%,2016,0.474,0.667,114,100,74,
2012,Albert Pujols,LAA,154,670,11.30%,35.60%,76.90%,62.50%,90.70%,42.50%,56.10%,7.00%,23.70%,2531,0.47,0.847,222,214,101,
2018,Giancarlo Stanton,NYY,158,705,29.90%,32.50%,52.20%,65.30%,80.50%,37.90%,56.70%,14.50%,29.90%,2942,0.449,0.678,187,152,77,
2010,Daric Barton,OAK,159,686,14.90%,15.20%,82.10%,57.40%,90.20%,45.70%,57.40%,4.00%,26.40%,3015,0.345,0.882,179,179,98,
2011,Andrew McCutchen,PIT,158,678,18.60%,21.90%,63.80%,62.80%,86.80%,46.70%,56.80%,8.10%,26.60%,2832,0.41,0.803,173,188,90,
2013,Carlos Beltran,STL,145,600,15.00%,30.70%,67.40%,68.30%,90.30%,42.10%,57.80%,8.60%,25.00%,2181,0.466,0.815,165,192,112,
2018,Lorenzo Cain,MIL,141,620,15.20%,24.90%,69.10%,64.70%,90.90%,43.80%,60.20%,6.90%,25.60%,2452,0.423,0.837,244,103,100,
2015,Brandon Belt,SFG,137,556,26.40%,28.60%,62.30%,80.90%,80.70%,40.60%,60.10%,12.70%,23.80%,2320,0.498,0.744,116,132,100,
2018,Michael Brantley,CLE,143,631,9.50%,27.10%,78.70%,65.80%,97.30%,43.90%,58.00%,4.00%,21.70%,2286,0.441,0.909,232,156,127,
2018,Anthony Rizzo,CHC,153,665,12.00%,32.80%,74.90%,67.90%,91.90%,41.80%,57.00%,7.10%,23.30%,2444,0.475,0.851,187,184,122,
2015,Lucas Duda,NYM,135,554,24.90%,28.60%,60.50%,63.60%,88.00%,39.20%,51.30%,9.80%,27.70%,2266,0.423,0.767,92,170,74,
2012,Shin-Soo Choo,CLE,155,686,21.90%,23.40%,59.80%,65.90%,83.30%,44.40%,58.70%,10.10%,27.60%,2811,0.423,0.761,222,121,104,
2018,Tommy Pham,- - -,137,570,24.60%,23.00%,54.80%,61.20%,87.40%,43.80%,61.10%,9.20%,29.80%,2246,0.397,0.768,171,100,85,
2010,Andrew McCutchen,PIT,154,653,13.60%,19.50%,67.20%,57.40%,90.60%,49.10%,56.40%,5.90%,27.40%,2632,0.382,0.845,210,183,91,
2011,Ben Zobrist,TBR,156,674,19.00%,25.20%,71.80%,59.40%,88.50%,43.90%,54.20%,7.00%,27.00%,2710,0.402,0.826,209,161,90,
2014,Starling Marte,PIT,135,545,24.00%,36.30%,60.70%,69.00%,84.30%,43.20%,64.00%,12.80%,27.60%,2072,0.504,0.746,165,102,82,
2019,Gleyber Torres,NYY,144,604,21.40%,35.10%,60.30%,76.30%,83.80%,40.60%,61.10%,13.30%,25.70%,2393,0.518,0.744,157,177,88,
2013,Prince Fielder,DET,162,712,16.40%,30.30%,67.10%,69.00%,85.60%,38.50%,55.30%,9.90%,25.30%,2618,0.452,0.78,209,185,117,
2010,Andres Torres,SFG,139,570,22.50%,28.60%,61.00%,64.70%,85.90%,44.10%,59.30%,10.20%,27.70%,2320,0.445,0.77,144,146,81,
2019,Michael Conforto,NYM,151,648,23.00%,27.30%,63.40%,72.30%,81.80%,40.80%,60.00%,11.30%,26.00%,2587,0.457,0.753,145,161,96,
2012,Corey Hart,MIL,149,622,24.30%,27.80%,56.10%,65.50%,80.30%,43.80%,61.60%,12.40%,29.30%,2468,0.444,0.718,164,166,79,
2016,Carlos Beltran,- - -,151,593,17.00%,31.20%,69.20%,66.20%,91.30%,42.30%,58.50%,7.90%,25.70%,2188,0.46,0.827,191,168,95,
2016,Mark Trumbo,BAL,159,667,25.50%,33.80%,57.30%,69.90%,82.00%,43.10%,63.60%,13.60%,29.20%,2623,0.494,0.724,175,191,77,
2016,Dustin Pedroia,BOS,154,698,10.50%,26.00%,80.30%,60.90%,92.50%,49.20%,58.00%,4.80%,24.80%,2728,0.431,0.888,276,151,136,
2010,Hideki Matsui,LAA,145,558,17.60%,21.30%,73.80%,62.40%,89.10%,45.00%,58.10%,6.10%,25.40%,2261,0.398,0.846,153,162,73,
2010,Carlos Quentin,CHW,131,527,15.70%,30.50%,60.90%,73.90%,86.00%,44.50%,58.30%,11.20%,23.80%,1905,0.498,0.775,137,185,52,
2017,Mark Reynolds,COL,148,593,29.50%,26.10%,45.00%,67.50%,78.60%,44.50%,57.30%,14.40%,30.50%,2470,0.445,0.676,146,126,75,
2019,Nick Castellanos,- - -,151,664,21.50%,40.90%,58.50%,76.30%,87.90%,39.00%,61.90%,14.00%,25.70%,2436,0.547,0.745,179,188,108,
2018,Andrew Benintendi,BOS,148,661,16.00%,28.40%,76.50%,70.80%,87.50%,41.30%,56.60%,7.60%,22.20%,2581,0.459,0.835,196,170,114,
2017,Josh Reddick,HOU,134,540,13.30%,28.00%,75.60%,64.80%,91.40%,42.50%,54.80%,6.30%,24.60%,2037,0.437,0.856,139,175,100,
2012,Alex Gordon,KCR,161,721,19.40%,27.70%,65.60%,65.20%,87.60%,44.40%,56.00%,8.80%,26.60%,2894,0.444,0.8,213,165,126,
2019,Kyle Schwarber,CHC,155,610,25.60%,26.40%,60.30%,66.80%,81.60%,41.10%,55.60%,11.20%,27.40%,2539,0.43,0.739,142,158,74,
2013,Justin Upton,ATL,149,643,25.00%,24.70%,58.90%,66.80%,77.30%,45.30%,61.90%,12.30%,29.00%,2628,0.438,0.717,163,151,86,
2010,Torii Hunter,LAA,152,646,16.40%,26.50%,59.70%,67.30%,87.50%,47.10%,55.40%,9.40%,26.00%,2521,0.457,0.79,226,158,86,
2013,Buster Posey,SFG,148,595,11.80%,24.10%,79.00%,59.80%,91.20%,44.40%,55.30%,5.10%,25.10%,2405,0.4,0.871,216,150,91,
2013,Jason Kipnis,CLE,149,658,21.70%,21.20%,63.80%,58.90%,89.60%,45.20%,52.70%,6.90%,27.70%,2763,0.382,0.818,183,137,105,
2015,Curtis Granderson,NYM,157,682,22.10%,19.90%,65.40%,60.80%,88.50%,43.30%,53.10%,6.90%,28.20%,2981,0.376,0.816,133,182,117,
2011,Rickie Weeks Jr.,MIL,118,515,20.80%,23.60%,51.80%,65.10%,83.50%,46.80%,58.40%,11.00%,29.80%,1979,0.43,0.743,168,123,58,
2014,Seth Smith,SDP,136,521,16.70%,24.90%,67.30%,61.90%,89.20%,40.30%,51.10%,7.50%,27.20%,2124,0.398,0.81,170,114,76,
2013,Hunter Pence,SFG,162,687,16.70%,31.80%,65.30%,64.80%,84.30%,42.40%,60.60%,10.60%,27.60%,2590,0.458,0.767,243,185,89,
2014,Adam LaRoche,WSN,140,586,18.40%,24.70%,65.90%,64.00%,89.10%,40.00%,54.10%,7.70%,26.00%,2365,0.404,0.806,144,162,87,
2016,Ian Kinsler,DET,153,679,16.90%,27.30%,69.50%,64.10%,92.60%,47.70%,61.40%,6.60%,25.80%,2550,0.449,0.852,159,224,120,
2012,Torii Hunter,LAA,140,584,22.80%,34.40%,59.40%,69.60%,83.90%,45.90%,60.30%,12.60%,28.10%,2087,0.506,0.749,205,100,89,
2017,Eugenio Suarez,CIN,156,632,23.30%,24.20%,58.40%,65.50%,86.40%,43.40%,59.30%,9.60%,27.70%,2687,0.421,0.773,152,145,94,
2011,Jhonny Peralta,DET,146,576,16.50%,28.00%,64.80%,70.20%,87.80%,46.30%,57.30%,9.20%,24.10%,2202,0.476,0.805,157,194,88,
2011,Carlos Pena,CHC,153,606,26.60%,25.60%,51.20%,72.60%,79.90%,39.90%,56.80%,13.20%,26.10%,2501,0.444,0.699,123,156,51,
2013,Chase Utley,PHI,131,531,14.90%,28.60%,67.30%,59.30%,93.10%,43.40%,54.40%,7.00%,28.30%,2033,0.419,0.831,152,170,78,
2014,Neil Walker,PIT,137,571,15.40%,31.40%,73.30%,71.10%,90.00%,41.10%,56.20%,7.80%,23.10%,2176,0.477,0.836,163,165,96,
2018,Jose Martinez,STL,152,590,17.60%,29.50%,68.60%,63.80%,88.10%,41.00%,58.80%,8.60%,27.10%,2358,0.436,0.803,200,120,113,
2019,Trea Turner,WSN,122,569,19.90%,31.90%,60.80%,68.60%,89.80%,40.40%,62.40%,10.30%,27.70%,2233,0.467,0.78,193,134,82,
2016,Jonathan Villar,MIL,156,679,25.60%,24.10%,57.50%,66.20%,83.10%,44.90%,57.30%,10.60%,27.90%,2832,0.43,0.752,224,97,82,
2018,Shin-Soo Choo,TEX,146,665,23.50%,23.90%,59.80%,62.40%,82.10%,43.20%,58.20%,10.30%,28.40%,2770,0.406,0.746,203,113,88,
2011,Ryan Howard,PHI,152,644,26.70%,31.20%,53.70%,71.60%,78.10%,37.90%,52.00%,14.60%,27.40%,2666,0.465,0.679,157,152,81,
2010,Stephen Drew,ARI,151,633,17.10%,24.10%,61.90%,65.80%,92.20%,43.60%,55.10%,7.40%,25.10%,2511,0.423,0.824,184,187,87,
2011,Seth Smith,COL,147,533,17.40%,31.80%,67.10%,71.20%,85.20%,42.00%,55.90%,10.30%,25.30%,2107,0.483,0.783,148,157,84,
2019,Max Kepler,MIN,134,596,16.60%,30.60%,62.10%,75.80%,92.20%,41.40%,62.90%,9.30%,22.50%,2160,0.493,0.812,155,200,74,
2015,Jason Kipnis,CLE,141,641,16.70%,26.70%,67.40%,62.40%,92.10%,46.00%,56.20%,6.90%,26.90%,2540,0.431,0.839,208,130,124,
2017,Jonathan Schoop,BAL,160,675,21.00%,37.10%,59.00%,74.00%,83.90%,41.60%,61.20%,13.80%,26.30%,2544,0.524,0.736,204,181,102,
2016,Jose Ramirez,CLE,152,618,10.00%,27.70%,84.40%,64.00%,91.20%,44.70%,57.00%,4.90%,24.50%,2428,0.439,0.888,206,183,115,
2012,Carlos Beltran,STL,151,619,20.00%,30.80%,63.50%,70.20%,89.80%,40.30%,57.70%,9.40%,25.10%,2271,0.467,0.794,178,161,87,
2018,Ben Zobrist,CHC,139,520,11.50%,26.00%,76.80%,59.60%,92.10%,44.10%,58.10%,5.50%,26.20%,2018,0.408,0.866,192,121,86,
2015,Eric Hosmer,KCR,158,667,16.20%,32.20%,68.10%,64.80%,89.60%,41.20%,57.00%,8.70%,24.80%,2557,0.456,0.807,253,119,115,
2016,Jose Bautista,TOR,116,517,19.90%,20.20%,60.40%,58.70%,89.40%,42.50%,56.10%,7.20%,27.20%,2195,0.366,0.802,128,135,61,
2013,Chris Johnson,ATL,142,547,21.20%,38.50%,56.40%,72.20%,88.60%,44.20%,61.60%,12.90%,26.70%,2049,0.534,0.756,182,110,108,
2019,Matt Chapman,OAK,156,670,21.90%,24.80%,67.50%,65.00%,83.50%,42.80%,57.50%,9.20%,28.00%,2805,0.42,0.781,182,189,68,
2010,Delmon Young,MIN,153,613,13.20%,39.60%,72.90%,79.80%,87.60%,45.50%,61.00%,10.30%,20.20%,1988,0.579,0.821,222,198,77,
2015,Adrian Gonzalez,LAD,156,643,16.60%,33.10%,67.40%,74.40%,88.10%,41.50%,54.30%,9.90%,22.00%,2485,0.503,0.801,174,171,121,
2016,Jackie Bradley Jr.,BOS,156,636,22.50%,29.00%,62.70%,65.30%,83.30%,44.50%,59.60%,10.80%,28.90%,2509,0.451,0.759,198,144,77,
2019,Ryan Braun,MIL,144,508,20.70%,37.40%,59.90%,72.70%,89.20%,39.50%,61.40%,12.20%,26.60%,1875,0.513,0.763,179,108,68,
2014,Melky Cabrera,TOR,139,621,10.80%,32.70%,81.70%,63.80%,93.40%,39.70%,60.50%,5.20%,23.80%,2295,0.45,0.883,249,149,107,
2019,Ozzie Albies,ATL,160,702,16.00%,37.90%,67.40%,81.40%,86.80%,40.40%,64.10%,11.70%,21.50%,2494,0.555,0.789,201,194,135,
2011,Casey Kotchman,TBR,146,563,11.70%,25.70%,78.40%,61.80%,92.50%,43.00%,57.50%,5.10%,25.00%,2168,0.412,0.875,244,113,80,
2010,Martin Prado,ATL,140,651,13.20%,25.70%,79.60%,55.50%,95.50%,49.10%,56.70%,3.90%,27.00%,2568,0.403,0.904,251,158,109,
2011,Nelson Cruz,TEX,124,513,22.60%,31.70%,62.90%,72.40%,79.40%,46.10%,56.70%,13.20%,26.50%,1997,0.505,0.738,150,155,57,
2013,Ryan Zimmerman,WSN,147,633,21.00%,30.50%,66.20%,55.50%,86.40%,44.00%,59.90%,9.10%,30.60%,2540,0.415,0.781,196,148,94,
2014,Carlos Santana,CLE,152,660,18.80%,21.70%,72.00%,58.90%,85.60%,42.20%,51.80%,7.00%,25.50%,2841,0.374,0.81,167,168,81,
2011,Brandon Phillips,CIN,150,675,12.60%,34.20%,68.60%,76.80%,91.50%,44.50%,59.60%,8.80%,20.90%,2504,0.531,0.833,240,185,105,
2015,Mike Moustakas,KCR,147,614,12.40%,33.00%,75.20%,65.60%,91.40%,43.70%,58.30%,7.10%,23.00%,2435,0.472,0.85,189,196,89,
2019,Shin-Soo Choo,TEX,151,660,25.00%,22.70%,50.30%,65.90%,81.40%,44.40%,59.20%,11.70%,28.90%,2707,0.419,0.72,194,115,86,
2018,Gregory Polanco,PIT,130,535,21.90%,28.50%,65.50%,69.60%,86.10%,40.20%,57.40%,9.80%,25.00%,2213,0.45,0.783,116,167,65,
2018,J.T. Realmuto,MIA,125,531,19.60%,29.90%,63.90%,67.80%,86.90%,45.20%,60.60%,9.90%,26.70%,2042,0.47,0.789,150,141,86,
2016,Justin Turner,LAD,151,622,17.20%,24.40%,76.60%,66.00%,86.90%,48.10%,60.50%,7.10%,25.10%,2466,0.444,0.84,165,183,109,
2016,George Springer,HOU,162,744,23.90%,27.20%,61.80%,74.10%,79.70%,43.10%,63.40%,12.30%,25.90%,2932,0.474,0.739,225,147,95,
2014,Mike Napoli,BOS,119,500,26.60%,23.50%,63.10%,61.00%,79.00%,43.90%,56.00%,10.40%,29.90%,2235,0.4,0.738,129,102,54,
2013,Shane Victorino,BOS,122,532,14.10%,31.90%,77.90%,55.60%,90.70%,44.80%,59.60%,6.20%,29.00%,2039,0.425,0.855,169,139,89,
2019,Starling Marte,PIT,132,586,16.00%,36.40%,63.50%,77.40%,85.80%,41.20%,62.60%,12.30%,24.00%,2127,0.533,0.769,222,124,94,
2011,Yadier Molina,STL,139,518,8.50%,32.80%,80.60%,70.60%,93.40%,48.00%,62.70%,5.50%,19.20%,1797,0.51,0.891,195,154,85,
2017,Jake Lamb,ARI,149,635,23.90%,22.40%,58.60%,61.80%,86.60%,44.20%,56.10%,8.80%,28.10%,2558,0.398,0.778,160,149,80,
2011,Matt Joyce,TBR,141,522,20.30%,28.20%,70.10%,68.00%,82.70%,43.70%,57.90%,9.70%,24.00%,2120,0.456,0.783,132,154,77,
2017,Francisco Lindor,CLE,159,723,12.90%,30.70%,75.30%,68.00%,92.60%,44.30%,58.50%,6.50%,22.70%,2727,0.472,0.863,218,236,102,
2011,Miguel Montero,ARI,140,553,17.50%,34.30%,70.30%,77.00%,86.70%,40.10%,64.90%,10.00%,22.30%,2058,0.514,0.802,168,143,87,
2010,Nick Markakis,BAL,160,709,13.10%,25.00%,84.70%,60.30%,92.50%,44.90%,54.90%,4.10%,25.00%,2864,0.409,0.899,247,197,97,
2012,Jay Bruce,CIN,155,633,24.50%,28.50%,55.60%,75.80%,84.70%,39.90%,57.20%,12.00%,26.10%,2444,0.474,0.742,145,182,83,
2011,Billy Butler,KCR,159,673,14.10%,28.10%,69.80%,63.00%,87.40%,44.90%,56.80%,8.00%,26.10%,2526,0.438,0.812,232,182,95,
2019,Jorge Polanco,MIN,153,704,16.50%,28.50%,71.90%,67.20%,90.70%,41.60%,59.50%,7.30%,24.90%,2771,0.446,0.836,150,228,135,
2016,Jake Lamb,ARI,151,594,25.90%,27.80%,52.90%,65.30%,83.80%,43.10%,54.00%,11.90%,29.20%,2411,0.439,0.727,171,137,65,
2012,Bryce Harper,WSN,139,597,20.10%,34.50%,63.10%,74.60%,86.00%,38.20%,59.00%,11.80%,23.50%,2307,0.498,0.762,184,136,93,
2010,Alfonso Soriano,CHC,147,548,22.40%,38.60%,59.60%,67.50%,84.50%,39.70%,55.80%,13.40%,28.30%,2121,0.501,0.73,110,204,62,
2012,Ryan Zimmerman,WSN,145,641,18.10%,29.80%,67.80%,57.00%,86.50%,43.00%,56.60%,8.70%,30.20%,2544,0.415,0.789,224,156,86,
2012,Garrett Jones,PIT,145,515,20.00%,36.00%,66.70%,73.70%,84.10%,39.60%,56.70%,11.80%,25.70%,1997,0.509,0.767,151,158,70,
2018,Yasmani Grandal,LAD,140,518,23.90%,22.70%,59.00%,57.90%,81.80%,44.80%,54.10%,9.90%,31.00%,2222,0.384,0.744,131,133,55,
2012,Jason Kubel,ARI,141,571,26.40%,28.00%,60.30%,63.20%,81.90%,40.80%,53.10%,11.10%,30.30%,2425,0.423,0.734,120,158,83,
2012,Chris Davis,BAL,139,562,30.10%,38.90%,56.00%,77.60%,82.50%,39.50%,62.60%,15.60%,27.00%,2254,0.542,0.71,137,131,81,
2019,Danny Santana,TEX,130,511,29.50%,41.90%,58.20%,74.20%,81.80%,42.30%,62.40%,15.80%,28.50%,1942,0.556,0.715,132,115,81,
2014,Adrian Gonzalez,LAD,159,660,17.00%,35.90%,70.40%,74.60%,87.30%,39.80%,54.80%,10.00%,22.70%,2502,0.513,0.802,188,185,116,
2015,Mookie Betts,BOS,145,654,12.50%,25.30%,72.90%,55.70%,93.00%,49.10%,61.50%,5.40%,29.50%,2634,0.402,0.866,198,220,101,
2011,Michael Cuddyer,MIN,139,584,16.30%,32.90%,70.00%,59.60%,90.50%,47.20%,57.00%,7.90%,27.60%,2225,0.455,0.827,212,147,78,
2012,A.J. Pierzynski,CHW,135,520,15.00%,43.10%,75.50%,77.20%,91.20%,42.30%,60.20%,8.90%,20.00%,1802,0.575,0.844,170,145,90,
2013,Domonic Brown,PHI,139,540,18.00%,30.90%,66.00%,76.10%,86.70%,40.70%,57.20%,10.20%,23.00%,2080,0.493,0.79,171,140,92,
2011,Carlos Santana,CLE,155,658,20.20%,21.10%,62.80%,58.30%,84.20%,44.10%,54.40%,8.30%,28.40%,2839,0.375,0.775,189,169,65,
2016,Starling Marte,PIT,129,529,19.70%,39.20%,61.90%,74.00%,86.50%,42.70%,60.50%,12.70%,25.00%,1995,0.541,0.763,182,107,88,
2017,Alex Bregman,HOU,155,626,15.50%,25.80%,75.00%,66.40%,90.50%,46.70%,63.30%,6.40%,23.90%,2302,0.448,0.857,179,186,101,
2018,Stephen Piscotty,OAK,151,605,18.80%,37.70%,59.50%,73.60%,87.10%,43.20%,65.00%,12.80%,26.50%,2167,0.533,0.76,196,144,97,
2016,Victor Martinez,DET,154,610,14.80%,32.60%,75.30%,66.70%,90.60%,42.00%,57.50%,7.30%,23.10%,2316,0.469,0.845,174,183,109,
2012,Jason Heyward,ATL,158,651,23.30%,32.10%,65.10%,67.00%,82.50%,40.90%,51.90%,11.40%,26.50%,2624,0.464,0.754,192,160,84,
2018,Travis Shaw,MIL,152,587,18.40%,28.80%,70.90%,66.50%,87.90%,41.20%,54.20%,8.20%,23.30%,2390,0.444,0.814,147,175,71,
2014,Josh Donaldson,OAK,158,695,18.70%,24.10%,58.70%,66.30%,84.60%,44.90%,59.10%,10.00%,26.90%,2714,0.43,0.766,219,198,65,
2015,Adam Lind,MIL,149,572,17.50%,34.10%,70.20%,61.30%,89.20%,40.90%,54.50%,8.60%,26.80%,2254,0.452,0.807,187,142,76,
2011,Josh Willingham,OAK,136,563,26.60%,20.40%,57.00%,60.60%,82.10%,48.40%,61.50%,9.70%,29.60%,2311,0.399,0.755,120,166,60,
2017,Carlos Santana,CLE,154,667,14.10%,21.40%,70.60%,62.10%,86.90%,45.60%,54.10%,7.10%,24.80%,2648,0.4,0.821,194,187,95,
2018,Didi Gregorius,NYY,134,569,12.10%,36.20%,71.00%,74.70%,90.30%,39.70%,59.40%,9.20%,21.40%,2082,0.515,0.821,171,183,86,
2011,Melky Cabrera,KCR,155,706,13.30%,35.90%,80.00%,67.10%,94.00%,43.70%,61.20%,5.80%,21.60%,2573,0.495,0.883,264,183,114,
2017,Jay Bruce,- - -,146,617,22.50%,31.30%,58.20%,73.30%,82.50%,43.80%,60.00%,13.00%,25.80%,2432,0.497,0.739,136,195,87,
2014,Todd Frazier,CIN,157,660,21.10%,32.60%,60.90%,68.10%,83.40%,43.10%,58.20%,12.10%,27.00%,2555,0.479,0.747,190,171,100,
2011,Dexter Fowler,COL,125,563,23.10%,23.00%,65.20%,67.40%,81.20%,43.30%,57.00%,9.90%,26.00%,2243,0.422,0.763,150,121,74,
2016,Evan Longoria,TBR,160,685,21.00%,33.70%,62.60%,67.20%,83.20%,45.20%,61.60%,11.90%,28.20%,2523,0.488,0.754,158,232,106,
2012,Andre Ethier,LAD,149,618,20.10%,31.90%,59.30%,71.40%,88.30%,42.90%,56.60%,10.90%,24.90%,2368,0.489,0.775,188,142,105,
2013,Adam Jones,BAL,160,689,19.70%,43.80%,63.50%,78.30%,82.90%,41.30%,64.60%,14.80%,25.60%,2450,0.581,0.743,250,166,102,
2011,Brian McCann,ATL,128,527,16.90%,30.00%,74.60%,68.50%,87.60%,41.40%,51.80%,7.80%,22.80%,2069,0.46,0.827,142,176,59,
2010,Chris Young,ARI,156,664,21.80%,21.30%,60.30%,55.40%,85.50%,46.10%,55.60%,8.30%,30.40%,2775,0.37,0.777,148,218,73,
2015,Logan Forsythe,TBR,153,615,18.00%,24.20%,70.70%,57.70%,89.10%,48.30%,61.60%,6.70%,28.80%,2540,0.404,0.834,172,176,86,
2011,Mark Reynolds,BAL,155,620,31.60%,27.10%,47.00%,70.10%,73.20%,45.30%,61.60%,16.30%,30.40%,2618,0.466,0.649,133,163,45,
2012,Alfonso Soriano,CHC,151,615,24.90%,37.20%,57.20%,69.20%,83.10%,40.40%,59.20%,14.20%,28.20%,2322,0.501,0.716,147,180,84,
2013,Eric Hosmer,KCR,159,680,14.70%,31.80%,69.50%,68.20%,89.20%,42.60%,54.00%,8.70%,25.00%,2566,0.473,0.816,277,131,118,
